"activity" "subject" "feature" "mean"
"LAYING" 2 "tBodyAcc-std()-Z" -0.9842
"LAYING" 2 "tBodyAccJerk-mean()-X" 0.0826
"LAYING" 2 "tBodyAccJerk-mean()-Y" 0.0123
"LAYING" 2 "tBodyAccJerk-mean()-Z" -0.0018
"LAYING" 2 "tBodyAccJerk-std()-X" -0.9859
"LAYING" 2 "tBodyAccJerk-std()-Y" -0.9832
"LAYING" 2 "tBodyAccJerk-std()-Z" -0.9884
"LAYING" 2 "tBodyAccJerkMag-mean()" -0.9877
"LAYING" 2 "tBodyAccJerkMag-std()" -0.9855
"LAYING" 2 "tBodyAccMag-mean()" -0.9774
"LAYING" 2 "tBodyAccMag-std()" -0.9729
"LAYING" 2 "tBodyGyro-mean()-X" -0.0185
"LAYING" 2 "tBodyGyro-mean()-Y" -0.1118
"LAYING" 2 "tBodyGyro-mean()-Z" 0.1449
"LAYING" 2 "tBodyGyro-std()-X" -0.9883
"LAYING" 2 "tBodyGyro-std()-Y" -0.9823
"LAYING" 2 "tBodyGyro-std()-Z" -0.9603
"LAYING" 2 "tBodyGyroJerk-mean()-X" -0.102
"LAYING" 2 "tBodyGyroJerk-mean()-Y" -0.0359
"LAYING" 2 "tBodyGyroJerk-mean()-Z" -0.0702
"LAYING" 2 "tBodyGyroJerk-std()-X" -0.9932
"LAYING" 2 "tBodyGyroJerk-std()-Y" -0.9896
"LAYING" 2 "tBodyGyroJerk-std()-Z" -0.988
"LAYING" 2 "tBodyGyroJerkMag-mean()" -0.9918
"LAYING" 2 "tBodyGyroJerkMag-std()" -0.9897
"LAYING" 2 "tBodyGyroMag-mean()" -0.95
"LAYING" 2 "tBodyGyroMag-std()" -0.9612
"LAYING" 2 "tGravityAcc-mean()-X" -0.5098
"LAYING" 2 "tGravityAcc-mean()-Y" 0.7525
"LAYING" 2 "tGravityAcc-mean()-Z" 0.6468
"LAYING" 2 "tGravityAcc-std()-X" -0.959
"LAYING" 2 "tGravityAcc-std()-Y" -0.9882
"LAYING" 2 "tGravityAcc-std()-Z" -0.9842
"LAYING" 2 "tGravityAccMag-mean()" -0.9774
"LAYING" 2 "tGravityAccMag-std()" -0.9729
"LAYING" 3 "fBodyAcc-mean()-X" -0.9807
"LAYING" 3 "fBodyAcc-mean()-Y" -0.9612
"LAYING" 3 "fBodyAcc-mean()-Z" -0.9683
"LAYING" 3 "fBodyAcc-std()-X" -0.9837
"LAYING" 3 "fBodyAcc-std()-Y" -0.9641
"LAYING" 3 "fBodyAcc-std()-Z" -0.9633
"LAYING" 3 "fBodyAccJerk-mean()-X" -0.9805
"LAYING" 3 "fBodyAccJerk-mean()-Y" -0.9688
"LAYING" 3 "fBodyAccJerk-mean()-Z" -0.9791
"LAYING" 3 "fBodyAccJerk-std()-X" -0.9831
"LAYING" 3 "fBodyAccJerk-std()-Y" -0.971
"LAYING" 3 "fBodyAccJerk-std()-Z" -0.9837
"LAYING" 3 "fBodyAccMag-mean()" -0.9655
"LAYING" 3 "fBodyAccMag-std()" -0.9684
"LAYING" 3 "fBodyBodyAccJerkMag-mean()" -0.9759
"LAYING" 3 "fBodyBodyAccJerkMag-std()" -0.9753
"LAYING" 3 "fBodyBodyGyroJerkMag-mean()" -0.9843
"LAYING" 3 "fBodyBodyGyroJerkMag-std()" -0.9826
"LAYING" 3 "fBodyBodyGyroMag-mean()" -0.9646
"LAYING" 3 "fBodyBodyGyroMag-std()" -0.9554
"LAYING" 3 "fBodyGyro-mean()-X" -0.9702
"LAYING" 3 "fBodyGyro-mean()-Y" -0.9781
"LAYING" 3 "fBodyGyro-mean()-Z" -0.9623
"LAYING" 3 "fBodyGyro-std()-X" -0.976
"LAYING" 3 "fBodyGyro-std()-Y" -0.977
"LAYING" 3 "fBodyGyro-std()-Z" -0.9673
"LAYING" 3 "tBodyAcc-mean()-X" 0.2755
"LAYING" 3 "tBodyAcc-mean()-Y" -0.019
"LAYING" 3 "tBodyAcc-mean()-Z" -0.1013
"LAYING" 3 "tBodyAcc-std()-X" -0.9828
"LAYING" 3 "tBodyAcc-std()-Y" -0.9621
"LAYING" 3 "tBodyAcc-std()-Z" -0.9637
"LAYING" 3 "tBodyAccJerk-mean()-X" 0.077
"LAYING" 3 "tBodyAccJerk-mean()-Y" 0.0138
"LAYING" 3 "tBodyAccJerk-mean()-Z" -0.0044
"LAYING" 3 "tBodyAccJerk-std()-X" -0.9809
"LAYING" 3 "tBodyAccJerk-std()-Y" -0.9687
"LAYING" 3 "tBodyAccJerk-std()-Z" -0.9821
"LAYING" 3 "tBodyAccJerkMag-mean()" -0.9795
"LAYING" 3 "tBodyAccJerkMag-std()" -0.9761
"LAYING" 3 "tBodyAccMag-mean()" -0.9728
"LAYING" 3 "tBodyAccMag-std()" -0.9642
"LAYING" 3 "tBodyGyro-mean()-X" -0.0208
"LAYING" 3 "tBodyGyro-mean()-Y" -0.0719
"LAYING" 3 "tBodyGyro-mean()-Z" 0.138
"LAYING" 3 "tBodyGyro-std()-X" -0.9745
"LAYING" 3 "tBodyGyro-std()-Y" -0.9773
"LAYING" 3 "tBodyGyro-std()-Z" -0.9635
"LAYING" 3 "tBodyGyroJerk-mean()-X" -0.1
"LAYING" 3 "tBodyGyroJerk-mean()-Y" -0.039
"LAYING" 3 "tBodyGyroJerk-mean()-Z" -0.0687
"LAYING" 3 "tBodyGyroJerk-std()-X" -0.9803
"LAYING" 3 "tBodyGyroJerk-std()-Y" -0.9868
"LAYING" 3 "tBodyGyroJerk-std()-Z" -0.9833
"LAYING" 3 "tBodyGyroJerkMag-mean()" -0.9867
"LAYING" 3 "tBodyGyroJerkMag-std()" -0.9831
"LAYING" 3 "tBodyGyroMag-mean()" -0.9516
"LAYING" 3 "tBodyGyroMag-std()" -0.9543
"LAYING" 3 "tGravityAcc-mean()-X" -0.2418
"LAYING" 3 "tGravityAcc-mean()-Y" 0.837
"LAYING" 3 "tGravityAcc-mean()-Z" 0.4887
"LAYING" 3 "tGravityAcc-std()-X" -0.9825
"LAYING" 3 "tGravityAcc-std()-Y" -0.9812
"LAYING" 3 "tGravityAcc-std()-Z" -0.9648
"LAYING" 3 "tGravityAccMag-mean()" -0.9728
"LAYING" 3 "tGravityAccMag-std()" -0.9642
"LAYING" 4 "fBodyAcc-mean()-X" -0.9588
"LAYING" 4 "fBodyAcc-mean()-Y" -0.9389
"LAYING" 4 "fBodyAcc-mean()-Z" -0.9675
"LAYING" 4 "fBodyAcc-std()-X" -0.9525
"LAYING" 4 "fBodyAcc-std()-Y" -0.9464
"LAYING" 4 "fBodyAcc-std()-Z" -0.9622
"LAYING" 4 "fBodyAccJerk-mean()-X" -0.9785
"LAYING" 4 "fBodyAccJerk-mean()-Y" -0.944
"LAYING" 4 "fBodyAccJerk-mean()-Z" -0.9754
"LAYING" 4 "fBodyAccJerk-std()-X" -0.9801
"LAYING" 4 "fBodyAccJerk-std()-Y" -0.9444
"LAYING" 4 "fBodyAccJerk-std()-Z" -0.9803
"LAYING" 4 "fBodyAccMag-mean()" -0.9394
"LAYING" 4 "fBodyAccMag-std()" -0.9372
"LAYING" 4 "fBodyBodyAccJerkMag-mean()" -0.9623
"LAYING" 4 "fBodyBodyAccJerkMag-std()" -0.958
"LAYING" 4 "fBodyBodyGyroJerkMag-mean()" -0.9836
"LAYING" 4 "fBodyBodyGyroJerkMag-std()" -0.9825
"LAYING" 4 "fBodyBodyGyroMag-mean()" -0.9616
"LAYING" 4 "fBodyBodyGyroMag-std()" -0.9471
"LAYING" 4 "fBodyGyro-mean()-X" -0.9672
"LAYING" 4 "fBodyGyro-mean()-Y" -0.9722
"LAYING" 4 "fBodyGyro-mean()-Z" -0.9615
"LAYING" 4 "fBodyGyro-std()-X" -0.9751
"LAYING" 4 "fBodyGyro-std()-Y" -0.9562
"LAYING" 4 "fBodyGyro-std()-Z" -0.9658
"LAYING" 4 "tBodyAcc-mean()-X" 0.2636
"LAYING" 4 "tBodyAcc-mean()-Y" -0.015
"LAYING" 4 "tBodyAcc-mean()-Z" -0.1107
"LAYING" 4 "tBodyAcc-std()-X" -0.9542
"LAYING" 4 "tBodyAcc-std()-Y" -0.9417
"LAYING" 4 "tBodyAcc-std()-Z" -0.9627
"LAYING" 4 "tBodyAccJerk-mean()-X" 0.0934
"LAYING" 4 "tBodyAccJerk-mean()-Y" 0.0069
"LAYING" 4 "tBodyAccJerk-mean()-Z" -0.0064
"LAYING" 4 "tBodyAccJerk-std()-X" -0.9783
"LAYING" 4 "tBodyAccJerk-std()-Y" -0.9422
"LAYING" 4 "tBodyAccJerk-std()-Z" -0.9785
"LAYING" 4 "tBodyAccJerkMag-mean()" -0.9701
"LAYING" 4 "tBodyAccJerkMag-std()" -0.9608
"LAYING" 4 "tBodyAccMag-mean()" -0.9546
"LAYING" 4 "tBodyAccMag-std()" -0.9313
"LAYING" 4 "tBodyGyro-mean()-X" -0.0092
"LAYING" 4 "tBodyGyro-mean()-Y" -0.093
"LAYING" 4 "tBodyGyro-mean()-Z" 0.1697
"LAYING" 4 "tBodyGyro-std()-X" -0.9731
"LAYING" 4 "tBodyGyro-std()-Y" -0.9611
"LAYING" 4 "tBodyGyro-std()-Z" -0.9621
"LAYING" 4 "tBodyGyroJerk-mean()-X" -0.105
"LAYING" 4 "tBodyGyroJerk-mean()-Y" -0.0381
"LAYING" 4 "tBodyGyroJerk-mean()-Z" -0.0712
"LAYING" 4 "tBodyGyroJerk-std()-X" -0.9751
"LAYING" 4 "tBodyGyroJerk-std()-Y" -0.9869
"LAYING" 4 "tBodyGyroJerk-std()-Z" -0.984
"LAYING" 4 "tBodyGyroJerkMag-mean()" -0.9851
"LAYING" 4 "tBodyGyroJerkMag-std()" -0.9827
"LAYING" 4 "tBodyGyroMag-mean()" -0.9302
"LAYING" 4 "tBodyGyroMag-std()" -0.947
"LAYING" 4 "tGravityAcc-mean()-X" -0.4207
"LAYING" 4 "tGravityAcc-mean()-Y" 0.9152
"LAYING" 4 "tGravityAcc-mean()-Z" 0.3415
"LAYING" 4 "tGravityAcc-std()-X" -0.9212
"LAYING" 4 "tGravityAcc-std()-Y" -0.9698
"LAYING" 4 "tGravityAcc-std()-Z" -0.9762
"LAYING" 4 "tGravityAccMag-mean()" -0.9546
"LAYING" 4 "tGravityAccMag-std()" -0.9313
"LAYING" 5 "fBodyAcc-mean()-X" -0.9687
"LAYING" 5 "fBodyAcc-mean()-Y" -0.9654
"LAYING" 5 "fBodyAcc-mean()-Z" -0.977
"LAYING" 5 "fBodyAcc-std()-X" -0.965
"LAYING" 5 "fBodyAcc-std()-Y" -0.9729
"LAYING" 5 "fBodyAcc-std()-Z" -0.9659
"LAYING" 5 "fBodyAccJerk-mean()-X" -0.9827
"LAYING" 5 "fBodyAccJerk-mean()-Y" -0.9653
"LAYING" 5 "fBodyAccJerk-mean()-Z" -0.9833
"LAYING" 5 "fBodyAccJerk-std()-X" -0.9856
"LAYING" 5 "fBodyAccJerk-std()-Y" -0.9662
"LAYING" 5 "fBodyAccJerk-std()-Z" -0.9861
"LAYING" 5 "fBodyAccMag-mean()" -0.9622
"LAYING" 5 "fBodyAccMag-std()" -0.9625
"LAYING" 5 "fBodyBodyAccJerkMag-mean()" -0.9774
"LAYING" 5 "fBodyBodyAccJerkMag-std()" -0.9764
"LAYING" 5 "fBodyBodyGyroJerkMag-mean()" -0.9846
"LAYING" 5 "fBodyBodyGyroJerkMag-std()" -0.9834
"LAYING" 5 "fBodyBodyGyroMag-mean()" -0.9683
"LAYING" 5 "fBodyBodyGyroMag-std()" -0.9593
"LAYING" 5 "fBodyGyro-mean()-X" -0.9758
"LAYING" 5 "fBodyGyro-mean()-Y" -0.9782
"LAYING" 5 "fBodyGyro-mean()-Z" -0.9632
"LAYING" 5 "fBodyGyro-std()-X" -0.9807
"LAYING" 5 "fBodyGyro-std()-Y" -0.9773
"LAYING" 5 "fBodyGyro-std()-Z" -0.9633
"LAYING" 5 "tBodyAcc-mean()-X" 0.2783
"LAYING" 5 "tBodyAcc-mean()-Y" -0.0183
"LAYING" 5 "tBodyAcc-mean()-Z" -0.1079
"LAYING" 5 "tBodyAcc-std()-X" -0.9659
"LAYING" 5 "tBodyAcc-std()-Y" -0.9693
"LAYING" 5 "tBodyAcc-std()-Z" -0.9686
"LAYING" 5 "tBodyAccJerk-mean()-X" 0.0848
"LAYING" 5 "tBodyAccJerk-mean()-Y" 0.0075
"LAYING" 5 "tBodyAccJerk-mean()-Z" -0.003
"LAYING" 5 "tBodyAccJerk-std()-X" -0.9833
"LAYING" 5 "tBodyAccJerk-std()-Y" -0.9646
"LAYING" 5 "tBodyAccJerk-std()-Z" -0.9854
"LAYING" 5 "tBodyAccJerkMag-mean()" -0.9801
"LAYING" 5 "tBodyAccJerkMag-std()" -0.9775
"LAYING" 5 "tBodyAccMag-mean()" -0.9668
"LAYING" 5 "tBodyAccMag-std()" -0.9586
"LAYING" 5 "tBodyGyro-mean()-X" -0.0219
"LAYING" 5 "tBodyGyro-mean()-Y" -0.0799
"LAYING" 5 "tBodyGyro-mean()-Z" 0.1599
"LAYING" 5 "tBodyGyro-std()-X" -0.9795
"LAYING" 5 "tBodyGyro-std()-Y" -0.9774
"LAYING" 5 "tBodyGyro-std()-Z" -0.9606
"LAYING" 5 "tBodyGyroJerk-mean()-X" -0.1021
"LAYING" 5 "tBodyGyroJerk-mean()-Y" -0.0404
"LAYING" 5 "tBodyGyroJerk-mean()-Z" -0.0708
"LAYING" 5 "tBodyGyroJerk-std()-X" -0.9834
"LAYING" 5 "tBodyGyroJerk-std()-Y" -0.9838
"LAYING" 5 "tBodyGyroJerk-std()-Z" -0.9897
"LAYING" 5 "tBodyGyroJerkMag-mean()" -0.9864
"LAYING" 5 "tBodyGyroJerkMag-std()" -0.9838
"LAYING" 5 "tBodyGyroMag-mean()" -0.9469
"LAYING" 5 "tBodyGyroMag-std()" -0.9583
"LAYING" 5 "tGravityAcc-mean()-X" -0.4835
"LAYING" 5 "tGravityAcc-mean()-Y" 0.9549
"LAYING" 5 "tGravityAcc-mean()-Z" 0.2636
"LAYING" 5 "tGravityAcc-std()-X" -0.9457
"LAYING" 5 "tGravityAcc-std()-Y" -0.986
"LAYING" 5 "tGravityAcc-std()-Z" -0.9771
"LAYING" 5 "tGravityAccMag-mean()" -0.9668
"LAYING" 5 "tGravityAccMag-std()" -0.9586
"LAYING" 6 "fBodyAcc-mean()-X" -0.9391
"LAYING" 6 "fBodyAcc-mean()-Y" -0.9237
"LAYING" 6 "fBodyAcc-mean()-Z" -0.938
"LAYING" 6 "fBodyAcc-std()-X" -0.9325
"LAYING" 6 "fBodyAcc-std()-Y" -0.9297
"LAYING" 6 "fBodyAcc-std()-Z" -0.924
"LAYING" 6 "fBodyAccJerk-mean()-X" -0.9671
"LAYING" 6 "fBodyAccJerk-mean()-Y" -0.936
"LAYING" 6 "fBodyAccJerk-mean()-Z" -0.9544
"LAYING" 6 "fBodyAccJerk-std()-X" -0.9686
"LAYING" 6 "fBodyAccJerk-std()-Y" -0.9357
"LAYING" 6 "fBodyAccJerk-std()-Z" -0.9636
"LAYING" 6 "fBodyAccMag-mean()" -0.9124
"LAYING" 6 "fBodyAccMag-std()" -0.9054
"LAYING" 6 "fBodyBodyAccJerkMag-mean()" -0.9487
"LAYING" 6 "fBodyBodyAccJerkMag-std()" -0.9516
"LAYING" 6 "fBodyBodyGyroJerkMag-mean()" -0.9537
"LAYING" 6 "fBodyBodyGyroJerkMag-std()" -0.9555
"LAYING" 6 "fBodyBodyGyroMag-mean()" -0.9302
"LAYING" 6 "fBodyBodyGyroMag-std()" -0.9287
"LAYING" 6 "fBodyGyro-mean()-X" -0.9354
"LAYING" 6 "fBodyGyro-mean()-Y" -0.9418
"LAYING" 6 "fBodyGyro-mean()-Z" -0.9326
"LAYING" 6 "fBodyGyro-std()-X" -0.9622
"LAYING" 6 "fBodyGyro-std()-Y" -0.9454
"LAYING" 6 "fBodyGyro-std()-Z" -0.9471
"LAYING" 6 "tBodyAcc-mean()-X" 0.2487
"LAYING" 6 "tBodyAcc-mean()-Y" -0.0103
"LAYING" 6 "tBodyAcc-mean()-Z" -0.1331
"LAYING" 6 "tBodyAcc-std()-X" -0.934
"LAYING" 6 "tBodyAcc-std()-Y" -0.9246
"LAYING" 6 "tBodyAcc-std()-Z" -0.9252
"LAYING" 6 "tBodyAccJerk-mean()-X" 0.0963
"LAYING" 6 "tBodyAccJerk-mean()-Y" -0.0011
"LAYING" 6 "tBodyAccJerk-mean()-Z" 0.0033
"LAYING" 6 "tBodyAccJerk-std()-X" -0.9663
"LAYING" 6 "tBodyAccJerk-std()-Y" -0.9337
"LAYING" 6 "tBodyAccJerk-std()-Z" -0.9596
"LAYING" 6 "tBodyAccJerkMag-mean()" -0.9548
"LAYING" 6 "tBodyAccJerkMag-std()" -0.9503
"LAYING" 6 "tBodyAccMag-mean()" -0.9189
"LAYING" 6 "tBodyAccMag-std()" -0.8973
"LAYING" 6 "tBodyGyro-mean()-X" -0.008
"LAYING" 6 "tBodyGyro-mean()-Y" -0.1072
"LAYING" 6 "tBodyGyro-mean()-Z" 0.1791
"LAYING" 6 "tBodyGyro-std()-X" -0.9554
"LAYING" 6 "tBodyGyro-std()-Y" -0.9436
"LAYING" 6 "tBodyGyro-std()-Z" -0.9391
"LAYING" 6 "tBodyGyroJerk-mean()-X" -0.1113
"LAYING" 6 "tBodyGyroJerk-mean()-Y" -0.0424
"LAYING" 6 "tBodyGyroJerk-mean()-Z" -0.0718
"LAYING" 6 "tBodyGyroJerk-std()-X" -0.9396
"LAYING" 6 "tBodyGyroJerk-std()-Y" -0.9586
"LAYING" 6 "tBodyGyroJerk-std()-Z" -0.9596
"LAYING" 6 "tBodyGyroJerkMag-mean()" -0.9556
"LAYING" 6 "tBodyGyroJerkMag-std()" -0.9532
"LAYING" 6 "tBodyGyroMag-mean()" -0.909
"LAYING" 6 "tBodyGyroMag-std()" -0.9209
"LAYING" 6 "tGravityAcc-mean()-X" -0.4767
"LAYING" 6 "tGravityAcc-mean()-Y" 0.9566
"LAYING" 6 "tGravityAcc-mean()-Z" 0.1759
"LAYING" 6 "tGravityAcc-std()-X" -0.8877
"LAYING" 6 "tGravityAcc-std()-Y" -0.9592
"LAYING" 6 "tGravityAcc-std()-Z" -0.9281
"LAYING" 6 "tGravityAccMag-mean()" -0.9189
"LAYING" 6 "tGravityAccMag-std()" -0.8973
"LAYING" 7 "fBodyAcc-mean()-X" -0.9534
"LAYING" 7 "fBodyAcc-mean()-Y" -0.9422
"LAYING" 7 "fBodyAcc-mean()-Z" -0.9586
"LAYING" 7 "fBodyAcc-std()-X" -0.9311
"LAYING" 7 "fBodyAcc-std()-Y" -0.9229
"LAYING" 7 "fBodyAcc-std()-Z" -0.9534
"LAYING" 7 "fBodyAccJerk-mean()-X" -0.9804
"LAYING" 7 "fBodyAccJerk-mean()-Y" -0.9725
"LAYING" 7 "fBodyAccJerk-mean()-Z" -0.9695
"LAYING" 7 "fBodyAccJerk-std()-X" -0.9836
"LAYING" 7 "fBodyAccJerk-std()-Y" -0.9759
"LAYING" 7 "fBodyAccJerk-std()-Z" -0.9751
"LAYING" 7 "fBodyAccMag-mean()" -0.928
"LAYING" 7 "fBodyAccMag-std()" -0.9105
"LAYING" 7 "fBodyBodyAccJerkMag-mean()" -0.9681
"LAYING" 7 "fBodyBodyAccJerkMag-std()" -0.9654
"LAYING" 7 "fBodyBodyGyroJerkMag-mean()" -0.9741
"LAYING" 7 "fBodyBodyGyroJerkMag-std()" -0.9694
"LAYING" 7 "fBodyBodyGyroMag-mean()" -0.9411
"LAYING" 7 "fBodyBodyGyroMag-std()" -0.9189
"LAYING" 7 "fBodyGyro-mean()-X" -0.9537
"LAYING" 7 "fBodyGyro-mean()-Y" -0.9576
"LAYING" 7 "fBodyGyro-mean()-Z" -0.9569
"LAYING" 7 "fBodyGyro-std()-X" -0.9623
"LAYING" 7 "fBodyGyro-std()-Y" -0.9397
"LAYING" 7 "fBodyGyro-std()-Z" -0.9589
"LAYING" 7 "tBodyAcc-mean()-X" 0.2502
"LAYING" 7 "tBodyAcc-mean()-Y" -0.0204
"LAYING" 7 "tBodyAcc-mean()-Z" -0.1014
"LAYING" 7 "tBodyAcc-std()-X" -0.9365
"LAYING" 7 "tBodyAcc-std()-Y" -0.9263
"LAYING" 7 "tBodyAcc-std()-Z" -0.953
"LAYING" 7 "tBodyAccJerk-mean()-X" 0.0969
"LAYING" 7 "tBodyAccJerk-mean()-Y" 0.0251
"LAYING" 7 "tBodyAccJerk-mean()-Z" -0.0132
"LAYING" 7 "tBodyAccJerk-std()-X" -0.981
"LAYING" 7 "tBodyAccJerk-std()-Y" -0.9731
"LAYING" 7 "tBodyAccJerk-std()-Z" -0.973
"LAYING" 7 "tBodyAccJerkMag-mean()" -0.9801
"LAYING" 7 "tBodyAccJerkMag-std()" -0.9673
"LAYING" 7 "tBodyAccMag-mean()" -0.9364
"LAYING" 7 "tBodyAccMag-std()" -0.907
"LAYING" 7 "tBodyGyro-mean()-X" -0.0028
"LAYING" 7 "tBodyGyro-mean()-Y" -0.1336
"LAYING" 7 "tBodyGyro-mean()-Z" 0.1559
"LAYING" 7 "tBodyGyro-std()-X" -0.9601
"LAYING" 7 "tBodyGyro-std()-Y" -0.9451
"LAYING" 7 "tBodyGyro-std()-Z" -0.9553
"LAYING" 7 "tBodyGyroJerk-mean()-X" -0.1059
"LAYING" 7 "tBodyGyroJerk-mean()-Y" -0.0359
"LAYING" 7 "tBodyGyroJerk-mean()-Z" -0.0672
"LAYING" 7 "tBodyGyroJerk-std()-X" -0.9738
"LAYING" 7 "tBodyGyroJerk-std()-Y" -0.9765
